"Statistic Label","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Mean Sale Price","2021 March","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","361358"
"Mean Sale Price","2021 April","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","477730"
"Mean Sale Price","2021 April","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","733453"
"Mean Sale Price","2021 April","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","876712"
"Mean Sale Price","2021 April","Dublin","New","Executions","Non-Household Buyer","Market","Euro","423053"
"Mean Sale Price","2021 April","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","390184"
"Mean Sale Price","2021 April","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","542274"
"Mean Sale Price","2021 April","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","410656"
"Mean Sale Price","2021 April","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","318649"
"Mean Sale Price","2021 May","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","464888"
"Mean Sale Price","2021 May","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","585498"
"Mean Sale Price","2021 May","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","616739"
"Mean Sale Price","2021 May","Dublin","New","Executions","Non-Household Buyer","Market","Euro","452783"
"Mean Sale Price","2021 May","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","384460"
"Mean Sale Price","2021 May","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","553472"
"Mean Sale Price","2021 May","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","378985"
"Mean Sale Price","2021 May","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","432273"
"Mean Sale Price","2021 June","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","473587"
"Mean Sale Price","2021 June","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","640474"
"Mean Sale Price","2021 June","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","854915"
"Mean Sale Price","2021 June","Dublin","New","Executions","Non-Household Buyer","Market","Euro","791579"
"Mean Sale Price","2021 June","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","420987"
"Mean Sale Price","2021 June","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","580933"
"Mean Sale Price","2021 June","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","424525"
"Mean Sale Price","2021 June","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","361076"
"Mean Sale Price","2021 July","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","454429"
"Mean Sale Price","2021 July","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","626823"
"Mean Sale Price","2021 July","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","1177875"
"Mean Sale Price","2021 July","Dublin","New","Executions","Non-Household Buyer","Market","Euro","397535"
"Mean Sale Price","2021 July","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","405947"
"Mean Sale Price","2021 July","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","592097"
"Mean Sale Price","2021 July","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","415674"
"Mean Sale Price","2021 July","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","461384"
"Mean Sale Price","2021 August","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","437967"
"Mean Sale Price","2021 August","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","513769"
"Mean Sale Price","2021 August","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","512395"
"Mean Sale Price","2021 August","Dublin","New","Executions","Non-Household Buyer","Market","Euro","318598"
"Mean Sale Price","2021 August","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","434197"
"Mean Sale Price","2021 August","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","581775"
